,CODE,LOCATION,STATE,T_MIN,T_MAX,T_AVG,DO_MIN,DO_MAX,DO_AVG,PH_MIN,PH_MAX,PH_AVG,COND_MIN,COND_MAX,COND_AVG,BOD_MIN,BOD_MAX,BOD_AVG,N_MIN,N_MAX,N_AVG,FC_MIN,FC_MAX,FC_AVG,TC_MIN,TC_MAX,TC_AVG,RIVER
44,1818,GANGA AT MUNGER,BIHAR,15,32,24,7.5,8.6,8,7.6,8.1,7.9,299,354,329,2.4,2.8,2.6,,,,1100,5000,2067,2400,9000,4100,GANGA
45,2554,"GANGA AT SULTANGANJ, BHAGALPUR",BIHAR,14,32,24,7.6,8.6,8,7.7,8,7.9,310,362,336,2.4,2.7,2.6,,,,500,3000,1778,2400,16000,4278,GANGA
46,1819,GANGA AT BHAGALPUR,BIHAR,16,30,23,6.4,8.7,7.9,7.8,8.2,7.9,316,360,334,2.4,2.7,2.5,,,,1700,9000,4410,3500,24000,9200,GANGA
47,1816,GANGA AT KAHALGAON,BIHAR,16,29,23,7.5,8.7,8.1,7.8,8.2,7.9,296,368,330,2.4,2.9,2.7,,,,700,9000,3809,2200,24000,9564,GANGA
48,3113,GANGA AT D/S BUXAR NEAR GANGA BRIDGE,BIHAR,16,32,24,7.5,9.1,8.2,7.4,8.5,8,305,436,347,2.6,2.9,2.7,,,,1700,9000,3625,3000,24000,9000,GANGA
49,3114,GANGA RIVER NEAR DANAPUR,BIHAR,17,31,24,7.9,8.8,8.4,7.5,8.7,8.1,272,416,337,2.4,2.8,2.6,,,,1100,9000,2358,2200,24000,5417,GANGA
50,3115,GANGA RIVER AT BARH,BIHAR,16,29,23,7.8,8.6,8.2,7.8,8.1,8,310,386,331,2.4,2.7,2.6,,,,1100,3000,1780,2400,5000,3640,GANGA
51,3116,GANGA AT U/S MUNGER,BIHAR,15,31,24,7.6,8.6,8,7.7,8.1,7.9,298,349,322,2.4,2.7,2.5,,,,1100,3000,1767,2800,9000,4489,GANGA
52,3117,GANGA AT U/S SULTANGANJ,BIHAR,14,32,23,7.6,8.6,8.1,7.7,8.1,7.9,298,365,334,2.2,2.6,2.5,,,,800,9000,2438,2200,16000,5113,GANGA
53,3118,GANGA AT U/S BHAGALPUR,BIHAR,20,30,27,6.8,8,7.6,7.7,8,7.9,305,386,341,2.6,2.8,2.7,,,,1400,5000,2700,3000,16000,8000,GANGA
54,3122,"GANGA AT MALSALAMI, PATNA",BIHAR,17,30,24,7.8,8.8,8.2,7.7,8.5,8.1,272,418,341,2,2.9,2.6,,,,1100,5000,2233,2800,16000,5517,GANGA
55,3123,GANGA RIVER AT BARAHIA,BIHAR,22,30,26,7.4,8.4,7.9,7.7,8.1,7.9,312,348,328,2.2,2.7,2.5,,,,1100,5000,2175,2800,24000,8150,GANGA
56,1080,GANGA AT BAHARAMPORE,WEST BENGAL,21,33,27,6.1,10.7,7.6,7.1,8.5,7.8,198,350,281,1.4,5.8,3.4,0,1.33,0.57,900,200000,41817,1400,300000,59983,GANGA
57,2511,"NABADIP ON GANGA,GHOSHPARA NEAR MONIPURGHAT",WEST BENGAL,19,32,27,6.2,10.5,7.6,7.2,8.5,7.8,196,354,275,1.3,4.5,2.4,0,1.32,0.58,1700,90000,28975,2100,200000,48425,GANGA
58,2506,"TRIBENI ON GANGA, NEAR BURNING GHAT",WEST BENGAL,19,33,27,5.9,9.1,7.4,7.9,8.3,8.1,197,348,273,0.6,3.1,1.6,0.04,0.56,0.35,800,50000,12925,1100,90000,19792,GANGA
59,1054,GANGA AT PALTA,WEST BENGAL,21,33,28,5.4,10.5,7,7,8.5,7.8,194,381,288,1.4,4.7,3.1,0,1.27,0.64,14000,500000,156417,27000,900000,262250,GANGA
60,1472,GANGA AT SERAMPORE,WEST BENGAL,19,32,27,5.2,9.3,7,7.5,8.2,8,195,363,280,0.7,4.3,2.4,0.06,1.29,0.52,17000,200000,128667,30000,300000,162750,GANGA
61,1053,GANGA AT DAKSHINESWAR,WEST BENGAL,21,35,28,4.5,8.2,6.1,7.5,8.1,7.8,187,478,315,2.2,5.8,4.1,0.04,1.44,0.49,85000,3000000,493750,100000,5000000,1076667,GANGA
62,1471,GANGA AT HOWRAH-SHIVPUR,WEST BENGAL,18,32,27,4.5,9.7,6,6.8,8.3,7.8,226,389,306,1.4,4.3,2.9,0.08,1.08,0.46,20000,400000,131250,35000,700000,345417,GANGA
