RIVER,CODE,LOCATION,STATE,T_MIN,T_MAX,T_AVG,DO_MIN,DO_MAX,DO_AVG,PH_MIN,PH_MAX,PH_AVG,COND_MIN,COND_MAX,COND_AVG,BOD_MIN,BOD_MAX,BOD_AVG,N_MIN,N_MAX,N_AVG,FC_MIN,FC_MAX,FC_AVG,TC_MIN,TC_MAX,TC_AVG
GODAVARI,2360,"GODAVARI AT BASARA, ADILABAD",TELANGANA,20,25,22.5,5.4,8.4,6.9,7,8.1,7.55,386,1632,1009.0,2,25,13.5,0.2,4.6,2.4,10,50,30.0,98,280,189.0
GODAVARI,2361,"GODAVARI AT MANCHERIAL, NEAR RLY BDG B/C OF RALLAVAGU",TELANGANA,25,30,27.5,4.2,6.8,5.5,7.2,8.3,7.75,324,468,396.0,2,4,3.0,0,4,2.0,20,63,41.5,185,450,317.5
GODAVARI,2362,"GODAVARI AT RAMAGUAM D/S, NEAR FCI INTAKE WELL, KARIMNAGAR",TELANGANA,23,29,26.0,4,7.8,5.9,7.5,8.6,8.05,451,600,525.5,2,7,4.5,0,1,0.5,50,90,70.0,277,550,413.5
GODAVARI,2363,"GODAVARI AT GODAVARIKHANI, NEAR BATHING GHAT, KARIMNAGAR",TELANGANA,23,29,26.0,4,7.1,5.55,7.5,8.2,7.85,591,808,699.5,4,8,6.0,0,0.6,0.3,60,161,110.5,170,670,420.0
GODAVARI,2364,"GODAVARI AT RAMAGUAM U/S , KARIMNAGAR",TELANGANA,24,27,25.5,3.2,6.8,5.0,7.5,8.5,8.0,432,499,465.5,2,4,3.0,0,1.6,0.8,44,80,62.0,150,400,275.0
GODAVARI,2356,"GODAVARI, D/S OF RAMANUGUAM",TELANGANA,23,30,26.5,4.8,7.4,6.1,7.5,8.9,8.2,519,700,609.5,2,5,3.5,0,0.5,0.25,30,87,58.5,100,355,227.5
GODAVARI,2365,"GODAVARI AT KAMALPUR U/S M/S RAYONS LTD. INTAKE WELL, WARANGAL",TELANGANA,20,30,25.0,5.2,7.8,6.5,7.2,7.9,7.550000000000001,256,398,327.0,2,3,2.5,0,1.2,0.6,33,70,51.5,100,300,200.0
GODAVARI,2366,"GODAVARI AT KAMALPUR D/S AT M/S. AP RAYONS LTD. DISCHARGE POINT, WARANGAL",TELANGANA,22,30,26.0,5,6.2,5.6,7.1,8,7.55,260,398,329.0,2,4,3.0,0,0.5,0.25,25,66,45.5,80,341,210.5
GODAVARI,13,GODAVARI AT MANCHERIAL,TELANGANA,24,28,26.0,5.2,6.9,6.050000000000001,7.3,8.7,8.0,324,468,396.0,2,4,3.0,0,3.5,1.75,35,80,57.5,140,400,270.0
GODAVARI,2367,"GODAVARI AT BHADRACHALAM U/S BATHING GHAT, KHAMMAM",TELANGANA,16,31.5,23.75,5.1,6.8,5.949999999999999,7.1,8.1,7.6,230,340,285.0,2,10,6.0,0,0.7,0.35,10,30,20.0,110,250,180.0
GODAVARI,2368,"GODAVARI AT BHADRACHALAM D/S BATHING GHAT, KHAMMAM",TELANGANA,17,31.2,24.1,2.2,6.3,4.25,7.1,8.1,7.6,260,428,344.0,2,5,3.5,0,1,0.5,12,80,46.0,160,319,239.5
GODAVARI,2369,"GODAVARI AT BURGAMPAHAD, KHAMMAM",TELANGANA,16,27,21.5,4.6,6,5.3,7,7.9,7.45,267,512,389.5,3,6,4.5,0,1.1,0.55,15,120,67.5,211,800,505.5
GODAVARI,3080,"U/S OF KARAKAVAGU AT PALONCHA, KHAMMAM",TELANGANA,18,28,23.0,5.6,6.6,6.1,7.2,7.9,7.550000000000001,144,638,391.0,2,4,3.0,0,0.6,0.3,2,20,11.0,8,55,31.5
GODAVARI,3081,"D/S OF KARAKAVAGU AT PALONCHA, KHAMMAM",TELANGANA,20,30,25.0,5.4,6.9,6.15,7,8,7.5,446,598,522.0,2,8,5.0,0,0.7,0.35,5,15,10.0,2,100,51.0
