"7/19/23, 11:18 AM",cpcb.nic.in/wqm/2013/RIVERWATER DATA 2013_1.htm,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY DATA 2013 | CPCB ENVIS ,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER BEAS - 2013,,,,,,,,,,,,,,,,,,,,,,,,,,
"STATION
CODE",LOCATIONS,STATE,TEMPERATURE ºC,,,,D.O. (mg/l),,,pH,,"CONDUCTIVITY
(µmhos/cm)",,,B.O.D. (mg/l),,,"NITRATE- N+ NITRITE-
N (mg/l)",,,"FECAL COLIFORM
(MPN/100ml)",,,"TOTAL COLIFORM
(MPN/100ml)",,
,,,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean
2774,"CAUVERY AT RANGANATHITTU, KARNATAKA",KARNATAKA,25,27,25.7,5.3,6.8,6,7.4,8.7,8,85,387,266,1,3,2.3,0.18,0.51,0.33,320,3900,1573,1300,14000,6350
50,"CAUVERY AT METTUR, TAMIL NADU",TAMILNADU,22,32,28.5,3.6,7.9,6.3,7.3,8.9,8,108,477,343,0.3,7,1.5,0.07,0.29,0.17,84,54000,7220,110,92000,11770
1322,"CAUVERY AT 1KM. D/S OF BHAVANI RIVER
CONFL., TAMILNADU",TAMILNADU,23,29,27,3.8,9,5.9,7.6,8.9,8.2,155,551,389,0.3,3,0.8,0.04,0.6,0.2,84,35000,3273,110,54000,5138
51,"CAUVERY AT PALLIPPALAYAM, TAMIL NADU",TAMILNADU,26,33,28.7,2,13.6,8.4,7.4,8.3,8,110,2870,741,0.6,6,1.8,0.04,0.49,0.18,110,35000,3282,170,54000,5225
1320,"CAUVERY AT ERODE NEAR CHIRAPALAYAM,
TAMILNADU",TAMILNADU,24,30,27.5,1.8,8.4,5.5,7.7,9.1,8.2,152,1640,676,0.3,8.5,1.8,0.03,0.8,0.19,170,54000,4975,220,92000,8413
1323,"CAUVERY AT VELORE NEAR KATTIPALAYAM,
TAMILNADU",TAMILNADU,26,32,28,6.1,13.3,9,7.4,9.1,8.4,173,786,510,0.5,1.3,1,0.06,0.75,0.23,110,5400,842,210,9200,1424
3015,"CAUVERY AT PUGALUR, KARUR, TAMILNADU",TAMILNADU,27,32,28.5,2.8,10.4,6.6,7.8,9.4,8.6,150,1159,596,0.4,1.4,0.9,0.03,0.31,0.19,110,3500,479,170,9200,1062
1324,"CAUVERY AT MOHANUR NEAR
PATTAIPALAYAM, TAMILNADU",TAMILNADU,16,31,26.7,6.5,13.4,8.4,7.3,9.3,8.3,165,886,507,0.5,1.7,1.2,0.02,1.17,0.27,94,5400,690,120,9200,1174
1451,"CAUVERY AT THIRUMUKKUDAL-CONFL. PT.OF
R. AMRAVATI,TAMILNADU",TAMILNADU,27,31.5,28.6,5.7,10.6,7.8,7.7,9.2,8.4,160,675,511,0.1,2.7,0.9,0.04,0.4,0.23,110,490,203,220,790,328
31,"CAUVERY AT MUSIRI, TAMIL NADU",TAMILNADU,25,32,29,6.1,10.2,8.1,7.3,8.7,8.2,300,937,579,0.2,1.8,1,0.09,1.14,0.25,110,13000,2271,210,35000,4160
3016,"CAUVERY AT PETTAIVAITHALAI, TRICHY,
TAMILNADU",TAMILNADU,25,32,28.6,6,9.4,7.7,7.1,8.8,8.1,184,796,521,0.3,2,0.9,0.07,0.51,0.21,90,540000,50083,210,920000,85403
1202,"CAUVERY AT TIRUCHIRAPPALLI U/S,
TAMILNADU",TAMILNADU,25,32,28.3,6.5,9.4,7.7,7.1,8,7.5,154,674,466,0.1,2.2,1,0.05,0.7,0.21,33,1400,344,140,3500,696
1325,"CAUVERY AT TIRUCHIRAPPALLI D/S,
TAMILNADU",TAMILNADU,25,30,27.5,2.1,8,6,7.2,8.3,7.8,196,1115,601,0.2,4.2,1.9,0.02,0.98,0.23,25,240000,30508,79,540000,68359
1203,"CAUVERY AT TRICHY,GRAND ANAICUT,
TAMILNADU",TAMILNADU,25,30,27.3,4.7,9.1,6.7,7.3,8.3,7.9,225,886,545,0.4,4,1.9,0.06,0.95,0.25,110,17000,3448,240,35000,5325
1206,"CAUVERY AT THANJAVUR, TAMILNADU",TAMIL NADU,19,31,25,6,8.8,7.6,7.6,8.7,8.2,190,910,529,0.6,2.3,1.3,0.04,0.32,0.19,48,2400,590,140,3500,892
https://cpcb.nic.in/wqm/2013/RIVERWATER DATA 2013_29.htm,1/2,,,,,,,,,,,,,,,,,,,,,,,,,
"7/19/23, 11:21 AM",cpcb.nic.in/wqm/2013/RIVERWATER DATA 2013_29.htm,,,,,,,,,,,,,,,,,,,,,,,,,
3012,"CAUVERY AT KOMARAPALAYAM, NAMAKAL,
TAMILNADU",TAMILNADU,26,33,29.5,4.2,10,7.3,7.1,9.1,8.2,170,1078,517,0.8,3.6,1.6,0.03,0.94,0.27,90,24000,2803,220,35000,5232
3013,"CAUVERY AT URRACHIKOTTAI, ERODE,
TAMILNADU",TAMILNADU,25,31,27,4.4,10.3,7.1,7,8.7,7.4,64,447,189,0.4,3.7,1.5,0.08,0.58,0.21,0,730,179,220,2800,1145
3014,"CAUVERY AT VAIRAPALAYAM, NAMAKAL,
TAMILNADU",TAMILNADU,27,33,29.4,5.8,11.8,7.7,7.1,8.8,8.1,132,937,476,0.1,2.1,1,0.03,0.31,0.16,80,24000,2375,200,54000,5221
3017,"CAUVERY AT KUMBAKONAM, THANJAVUR,
TAMILNADU",TAMILNADU,20,28,24.3,7.3,8.9,8.2,7.6,8.6,8,220,594,375,0.9,3,1.8,0.04,0.94,0.24,48,4600,1287,130,7000,1965
,ESTUARINE ZONE,,,,,,,,,,,,,,,,,,,,,,,,,
1326,"CAUVERY AT COLEROON, TAMILNADU",TAMILNADU,26,35,27.8,5.4,8.9,7.5,7.6,8.9,8.3,176,50400,17218,0.2,7.8,1.3,0.06,0.27,0.18,4,3500,872,6,9200,1916
1327,"CAUVERY AT PITCHAVARAM, TAMILNADU",TAMILNADU,26,35,27.4,1.1,7.9,5.3,7,9.3,8.2,490,4730,1778,0.2,6.1,1.6,0.05,0.67,0.21,13,24000,4648,20,54000,7505
https://cpcb.nic.in/wqm/2013/RIVERWATER DATA 2013_29.htm,2/2,,,,,,,,,,,,,,,,,,,,,,,,,
"7/19/23, 11:19 AM",cpcb.nic.in/wqm/2013/RIVERWATER DATA 2013_5.htm,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY DATA 2013 | CPCB ENVIS ,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER GANGA - 2013,,,,,,,,,,,,,,,,,,,,,,,,,,
"STATION
CODE",LOCATIONS,STATE,TEMPERATURE ºC,,,D.O. (mg/l),,,,pH,,"CONDUCTIVITY
(µmhos/cm)",,,B.O.D. (mg/l),,,"NITRATE- N+
NITRITE-N (mg/l)",,,"FECAL COLIFORM
(MPN/100ml)",,,"TOTAL COLIFORM
(MPN/100ml)",,
,,,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean
,WATER QUALITY CRITERIA,,,,,> 4 mg/l,,,,6.5-8.5,,,,,,< 3 mg/l,,,,,< 2500 MPN/100ml,,,< 5000 MPN/100ml,,
1491,"BHAGIRATHI AT GANGOTRI, UTTAR PRADESH",UTTARAKHAND,3.3,7,5.2,8.3,8.8,8.6,8.4,8.5,8.5,126,126,126,,,,0,0,0,220,220,220,220,220,220
1484,"ALKANANDA B/C MANDAKINI AT RUDRA
PRAYAG, UTTAR PRADESH",UTTARAKHAND,11.3,19,15.4,7.4,10.6,8.7,7.4,8.4,8.1,124,124,124,0.2,1,0.7,0,0,0,790,790,790,1700,1700,1700
1486,"ALKANANDAA/C MANDAKINI AT
RUDRAPRAYAG, UTTAR PRADESH",UTTARAKHAND,11.3,19,16,7.6,10,8.6,7.5,8.7,8.1,183,183,183,0.8,2,1.4,0,0,0,78,78,78,230,230,230
1488,"BHAGIRATHI B/C WITH ALAKNANDAAT
DEVPRAYAG, U.P",UTTARAKHAND,14,20,17.1,7.4,11.2,9,7.8,8.6,8.2,170,170,170,0.4,1.8,1.2,0,0,0,40,40,40,140,140,140
