RIVER,CODE,LOCATION,STATE,T_MIN,T_MAX,T_AVG,DO_MIN,DO_MAX,DO_AVG,PH_MIN,PH_MAX,PH_AVG,COND_MIN,COND_MAX,COND_AVG,BOD_MIN,BOD_MAX,BOD_AVG,N_MIN,N_MAX,N_AVG,FC_MIN,FC_MAX,FC_AVG,TC_MIN,TC_MAX,TC_AVG
GODAVARI,1209,GODAVARI AT RAHER,MAHARASHTRA,22.0,30.0,26.0,5.8,7.5,6.65,7.6,8.5,8.05,282.0,1194.0,738.0,2.0,7.0,4.5,0.0,1.2,0.6,2.0,6.0,4.0,130.0,240.0,185.0
GODAVARI,2157,"GODAVARI  AT LATUR WATER INTAKE NEAR PUMP HOUSE AT
DHAMEGAON",MAHARASHTRA,20.0,26.0,23.0,6.2,7.8,7.0,7.9,8.3,8.100000000000001,309.0,446.0,377.5,3.0,7.0,5.0,0.0,0.6,0.3,2.0,6.0,4.0,130.0,240.0,185.0
GODAVARI,2360,"GODAVARI AT BASARA, ADILABAD",TELANGANA,20.0,26.0,23.0,6.1,8.2,7.15,7.2,8.5,7.85,340.0,601.0,470.5,2.0,3.0,2.5,1.2,6.1,3.65,5.0,32.0,18.5,90.0,198.0,144.0
GODAVARI,2361,"GODAVARI AT MANCHERIAL, NEAR RLY BDG B/C OF
RALLAVAGU",TELANGANA,22.0,27.0,24.5,4.5,6.0,5.25,7.0,8.6,7.8,275.0,488.0,381.5,2.0,5.0,3.5,0.0,2.6,1.3,50.0,90.0,70.0,300.0,600.0,450.0
GODAVARI,2362,"GODAVARI D/S RAMAGUNDAM, NEAR FCI INTAKE WELL,
KARIMNAGAR",TELANGANA,18.0,29.0,23.5,4.0,5.9,4.95,7.6,8.7,8.149999999999999,288.0,589.0,438.5,3.0,7.0,5.0,0.0,3.5,1.75,90.0,120.0,105.0,395.0,450.0,422.5
GODAVARI,2366,"GODAVARI D/S  KAMALPUR AT M/S RAYONS LTD. DISCHARGE
POINT, WARANGAL",TELANGANA,19.0,27.0,23.0,5.2,6.2,5.7,7.1,8.6,7.85,230.0,695.0,462.5,2.0,3.0,2.5,0.0,1.0,0.5,81.0,130.0,105.5,180.0,340.0,260.0
GODAVARI,2363,"GODAVARI AT GODAVARIKHANI, NEAR BATHING GHAT, KARIMNAGAR",TELANGANA,26.0,29.0,27.5,4.1,5.8,4.949999999999999,7.1,8.8,7.95,410.0,788.0,599.0,4.0,6.0,5.0,0.0,6.0,3.0,110.0,158.0,134.0,620.0,800.0,710.0
GODAVARI,2364,"GODAVARI U/S RAMAGUNDAM, KARIMNAGAR",TELANGANA,25.0,27.0,26.0,4.3,7.2,5.75,7.5,8.8,8.15,289.0,466.0,377.5,2.8,6.0,4.4,0.0,2.8,1.4,88.0,110.0,99.0,389.0,470.0,429.5
GODAVARI,2356,"GODAVARI, D/S OF RAMANUGUNDAM",TELANGANA,26.0,28.0,27.0,4.5,5.8,5.15,7.5,8.7,8.1,357.0,656.0,506.5,3.0,21.4,12.2,0.0,3.7,1.85,78.0,150.0,114.0,352.0,800.0,576.0
GODAVARI,2365,"GODAVARI U/S KAMALPUR M/S AP RAYONS LTD. INTAKE WELL, WARANGAL",TELANGANA,18.0,26.0,22.0,5.5,6.8,6.15,6.8,8.5,7.65,210.0,487.0,348.5,1.0,4.0,2.5,0.0,0.9,0.45,78.0,125.0,101.5,150.0,370.0,260.0
